Date,Stock Splits,Symbol
2004-04-30,11:10,ALOT
2006-07-03,5:4,ALOT
2017-07-25,1:4,ALPN
2023-05-15,1:8,ALPP
2022-11-11,1:20,ALRN
2004-04-12,2:1,ALRS
2014-09-15,3:1,ALRS
2018-09-14,1:30,ALT
2011-06-08,1:7,ALTO
2013-05-14,1:15,ALTO
2018-07-02,1388:1000,ALV
2023-10-31,1:15,ALZN
1980-04-02,3:2,AMAT
1981-02-06,3:2,AMAT
1986-05-16,2:1,AMAT
1992-04-07,2:1,AMAT
1993-10-06,2:1,AMAT
1995-10-13,2:1,AMAT
1997-10-14,2:1,AMAT
2000-03-16,2:1,AMAT
2002-04-17,2:1,AMAT
2024-02-20,1:10,AMBO
2023-08-24,1:10,AMC
1980-10-24,2:1,AMD
1982-10-28,3:2,AMD
1983-08-23,2:1,AMD
2000-08-22,2:1,AMD
1987-11-20,2:1,AME
2004-03-01,2:1,AME
2006-11-28,3:2,AME
2010-12-22,3:2,AME
2012-07-02,3:2,AME
2006-12-05,4:3,AMED
2004-03-30,3:2,AMG
1990-08-13,2:1,AMGN
1991-09-11,3:1,AMGN
1995-08-16,2:1,AMGN
1999-03-01,2:1,AMGN
1999-11-22,2:1,AMGN
2017-08-28,1:10,AMLI
2018-05-01,2:1,AMLI
2008-08-01,1:3.5,AMPE
2022-11-10,1:15,AMPE
2023-09-12,1:20,AMPE
2021-02-17,1:20,AMPG
2015-08-04,1:10,AMPY
2022-06-07,2:1,AMRK
1998-10-19,1:10,AMRN
2008-01-18,1:10,AMRN
1994-11-29,3:2,AMSC
2015-03-25,1:10,AMSC
2023-02-22,1:12,AMST
1985-04-16,3:2,AMSWA
1987-04-01,3:2,AMSWA
1989-05-08,3:2,AMSWA
1990-07-24,3:2,AMSWA
2018-10-24,1:3,AMTB
2022-11-22,1:2,AMTD
2023-11-17,1:3,AMTD
2014-05-15,1:10,AMTX
2016-06-15,4:1,AMTX
1993-09-07,11:10,AMWD
2004-09-27,2:1,AMWD
2005-07-21,3:1,AMX
2011-07-01,2:1,AMX
1998-06-02,2:1,AMZN
1999-01-05,3:1,AMZN
1999-09-02,2:1,AMZN
2022-06-06,20:1,AMZN
1996-06-10,2:1,AN
2006-06-29,2:1,ANDE
2014-02-19,3:2,ANDE
2021-11-18,4:1,ANET
1999-06-16,2:1,ANF
